T_thermocontroller T_self C D R X
48.9 -1 +3.41031E-011 +3.84413E-002 +1.79136E+004 -4.65999E+005
48.9 -1 +3.40901E-011 +3.80847E-002 +1.77547E+004 -4.66190E+005
48.9 -1 +3.41228E-011 +3.81996E-002 +1.77910E+004 -4.65738E+005
48.9 -1 +3.41068E-011 +3.85174E-002 +1.79470E+004 -4.65946E+005
48.9 -1 +3.41183E-011 +3.80487E-002 +1.77233E+004 -4.65806E+005
48.9 -1 +3.41238E-011 +3.86399E-002 +1.79949E+004 -4.65709E+005
48.9 -1 +3.41201E-011 +3.81266E-002 +1.77586E+004 -4.65779E+005
48.9 -1 +3.41349E-011 +3.84792E-002 +1.79145E+004 -4.65564E+005
50.73 -1 +3.41227E-011 +3.85151E-002 +1.79376E+004 -4.65729E+005
50.73 -1 +3.41280E-011 +3.83522E-002 +1.78592E+004 -4.65662E+005
50.73 -1 +3.41472E-011 +3.82414E-002 +1.77977E+004 -4.65404E+005
50.73 -1 +3.41497E-011 +3.88468E-002 +1.80773E+004 -4.65349E+005
50.73 -1 +3.41377E-011 +3.83108E-002 +1.78349E+004 -4.65532E+005
50.73 -1 +3.41650E-011 +3.85848E-002 +1.79477E+004 -4.65149E+005
50.73 -1 +3.41474E-011 +3.84119E-002 +1.78767E+004 -4.65395E+005
50.73 -1 +3.41595E-011 +3.82598E-002 +1.77999E+004 -4.65237E+005
50.73 -1 +3.41666E-011 +3.85431E-002 +1.79275E+004 -4.65129E+005
50.73 -1 +3.41655E-011 +3.82385E-002 +1.77869E+004 -4.65156E+005
50.73 -1 +3.41840E-011 +3.82406E-002 +1.77781E+004 -4.64903E+005
50.73 -1 +3.41843E-011 +3.87143E-002 +1.79976E+004 -4.64882E+005
50.73 -1 +3.41872E-011 +3.89937E-002 +1.81256E+004 -4.64833E+005
50.73 -1 +3.41696E-011 +3.87700E-002 +1.80312E+004 -4.65081E+005
50.73 -1 +3.41937E-011 +3.83084E-002 +1.78045E+004 -4.64769E+005
50.73 -1 +3.42004E-011 +3.87882E-002 +1.80234E+004 -4.64661E+005
50.73 -1 +3.41916E-011 +3.87473E-002 +1.80090E+004 -4.64781E+005
50.73 -1 +3.41883E-011 +3.87263E-002 +1.80011E+004 -4.64828E+005
50.73 -1 +3.41914E-011 +3.83759E-002 +1.78370E+004 -4.64798E+005
50.73 -1 +3.42101E-011 +3.82172E-002 +1.77537E+004 -4.64549E+005
52.44 -1 +3.42133E-011 +3.86577E-002 +1.79561E+004 -4.64490E+005
52.44 -1 +3.42135E-011 +3.87266E-002 +1.79879E+004 -4.64485E+005
52.44 -1 +3.42204E-011 +3.85289E-002 +1.78928E+004 -4.64398E+005
52.44 -1 +3.42225E-011 +3.88415E-002 +1.80364E+004 -4.64359E+005
52.44 -1 +3.42147E-011 +3.85243E-002 +1.78936E+004 -4.64476E+005
